"","sigma_s","rew_multi","sigma","rho","reward"
"481",0.3,10,0.1,0.5,21992.9851328313
"482",0.3,10,0.2,0.5,20888.8803041922
"483",0.3,10,0.3,0.5,19509.1469562344
"484",0.3,10,0.4,0.5,18123.9787813235
"485",0.3,10,0.5,0.5,17026.6962318859
"486",0.3,10,0.6,0.5,16240.4662600811
"487",0.3,10,0.7,0.5,15685.9231780654
"488",0.3,10,0.8,0.5,15289.4467143387
"489",0.3,10,0.9,0.5,14999.7424399736
"490",0.3,10,1,0.5,14783.172586837
"491",0.3,10,1.1,0.5,14617.7613376118
"492",0.3,10,1.2,0.5,14488.9428715429
"493",0.3,10,1.3,0.5,14386.8649655809
"494",0.3,10,1.4,0.5,14304.7187445345
"495",0.3,10,1.5,0.5,14237.6991555611
"496",0.3,10,1.6,0.5,14182.3480905055
"497",0.3,10,1.7,0.5,14136.1313623505
"498",0.3,10,1.8,0.5,14097.1608115739
"499",0.3,10,1.9,0.5,14064.0081487353
"500",0.3,10,2,0.5,14035.5779028352
"501",0.3,10,0.1,0.6,22008.047009416
"502",0.3,10,0.2,0.6,20941.0030944382
"503",0.3,10,0.3,0.6,19607.4489352951
"504",0.3,10,0.4,0.6,18278.8439697703
"505",0.3,10,0.5,0.6,17239.0159909603
"506",0.3,10,0.6,0.6,16499.5057991709
"507",0.3,10,0.7,0.6,15979.3874755319
"508",0.3,10,0.8,0.6,15607.7130621669
"509",0.3,10,0.9,0.6,15336.0193800943
"510",0.3,10,1,0.6,15132.7681378429
"511",0.3,10,1.1,0.6,14977.4107644797
"512",0.3,10,1.2,0.6,14856.3353641885
"513",0.3,10,1.3,0.6,14760.3319638793
"514",0.3,10,1.4,0.6,14683.0311707007
"515",0.3,10,1.5,0.6,14619.9344591597
"516",0.3,10,1.6,0.6,14567.8017029075
"517",0.3,10,1.7,0.6,14524.2566414887
"518",0.3,10,1.8,0.6,14487.5275410048
"519",0.3,10,1.9,0.6,14456.2733330054
"520",0.3,10,2,0.6,14429.4648597344
"521",0.3,10,0.1,0.7,22017.2456377774
"522",0.3,10,0.2,0.7,20978.5679489378
"523",0.3,10,0.3,0.7,19681.4208719198
"524",0.3,10,0.4,0.7,18402.9237136179
"525",0.3,10,0.5,0.7,17418.4097649483
"526",0.3,10,0.6,0.7,16725.2938934229
"527",0.3,10,0.7,0.7,16239.871823941
"528",0.3,10,0.8,0.7,15893.4520220975
"529",0.3,10,0.9,0.7,15640.2463052367
"530",0.3,10,1,0.7,15450.7570151195
"531",0.3,10,1.1,0.7,15305.8445156188
"532",0.3,10,1.2,0.7,15192.8492563192
"533",0.3,10,1.3,0.7,15103.2082566708
"534",0.3,10,1.4,0.7,15030.9981791699
"535",0.3,10,1.5,0.7,14972.0335832086
"536",0.3,10,1.6,0.7,14923.2981900101
"537",0.3,10,1.7,0.7,14882.5786663769
"538",0.3,10,1.8,0.7,14848.2238702309
"539",0.3,10,1.9,0.7,14818.983387952
"540",0.3,10,2,0.7,14793.8971935731
"541",0.3,10,0.1,0.8,22021.1041497628
"542",0.3,10,0.2,0.8,21002.8491805049
"543",0.3,10,0.3,0.8,19733.1527310837
"544",0.3,10,0.4,0.8,18499.098780998
"545",0.3,10,0.5,0.8,17567.8206611423
"546",0.3,10,0.6,0.8,16920.2655081609
"547",0.3,10,0.7,0.8,16469.1810673607
"548",0.3,10,0.8,0.8,16147.9010563997
"549",0.3,10,0.9,0.8,15913.1946293837
"550",0.3,10,1,0.8,15737.5382564223
"551",0.3,10,1.1,0.8,15603.1653606151
"552",0.3,10,1.2,0.8,15498.3503976109
"553",0.3,10,1.3,0.8,15415.1685549748
"554",0.3,10,1.4,0.8,15348.1387139479
"555",0.3,10,1.5,0.8,15293.3872247576
"556",0.3,10,1.6,0.8,15248.1216118586
"557",0.3,10,1.7,0.8,15210.2919999041
"558",0.3,10,1.8,0.8,15178.3685968539
"559",0.3,10,1.9,0.8,15151.1924551878
"560",0.3,10,2,0.8,15127.8734612816
"561",0.3,10,0.1,0.9,22020.1569947532
"562",0.3,10,0.2,0.9,21015.1499733279
"563",0.3,10,0.3,0.9,19764.846159201
"564",0.3,10,0.4,0.9,18570.4732776704
