"","sigma","omega.1","omega.2","omega.3","rho","lp__","subjid"
"161",0.241611350960534,0.872990941407598,0.0456445748042035,0.0813644837881987,0.27523702973297,-9392.07540790122,2077
"162",0.230307167129838,0.878759539908084,0.0471861831443721,0.0740542769475437,0.302758501295835,-9394.70558403307,2077
"163",0.237882579508153,0.872294100256373,0.0466110423180653,0.0810948574255617,0.275473317463454,-9391.43030406785,2077
"164",0.237245594112529,0.87475703302721,0.0405992660332967,0.0846437009394937,0.25634439152828,-9397.03247286955,2077
"165",0.236238260942552,0.877572568594314,0.0433743215361904,0.079053109869496,0.271968046253305,-9392.44927616281,2077
"166",0.242565511617,0.880201862603863,0.0417767849391017,0.0780213524570353,0.2914798936689,-9392.80484643434,2077
"167",0.253315893366241,0.877932432821635,0.0437047288191479,0.0783628383592176,0.303167636994707,-9397.46754004209,2077
"168",0.235325383996079,0.866690404663024,0.0483114525394078,0.084998142797568,0.270760551971659,-9392.57202866056,2077
"169",0.232584042867124,0.873066265647663,0.0499555202420144,0.0769782141103231,0.290211881544951,-9393.22094380336,2077
"170",0.238903025352746,0.873771516099844,0.0452747052653458,0.0809537786348097,0.28505439258244,-9391.17824749006,2077
"171",0.243597473728991,0.876908271017014,0.0454303539156765,0.0776613750673098,0.301035147233414,-9392.20468243783,2077
"172",0.240738271963424,0.880742130770945,0.0453726312289385,0.0738852380001168,0.318041112619925,-9393.413518934,2077
"173",0.233654883812816,0.875970447472787,0.0472705069421578,0.0767590455850557,0.332836804084426,-9393.34774195361,2077
"174",0.242000072234811,0.86903222077487,0.0483641159465067,0.0826036632786233,0.297645185354479,-9393.27467711483,2077
"175",0.231109846411516,0.868883164758878,0.0466885121012371,0.0844283231398852,0.28001924604463,-9391.77449774771,2077
"176",0.239680322629902,0.872399896916486,0.0455500646423866,0.082050038441127,0.282610209421553,-9391.52179685233,2077
"177",0.240763413131932,0.87936742909624,0.0434135752528441,0.077218995650916,0.297048319558626,-9391.85317359852,2077
"178",0.231999467097921,0.871252351507197,0.0466386645390729,0.0821089839537296,0.293979911952093,-9391.0195050279,2077
"179",0.240888198878778,0.878894062678959,0.044646610720796,0.0764593266002448,0.289016507682179,-9391.66671501191,2077
"180",0.23695168476374,0.868834353963676,0.0483230435873038,0.0828426024490202,0.320769163913844,-9392.30132981021,2077
"181",0.241381322165984,0.879966972584596,0.0450251856508406,0.0750078417645635,0.282322428441607,-9392.20589158237,2077
"182",0.237822986261811,0.876030821282774,0.0459023972658436,0.0780667814513819,0.267398268910113,-9391.99405342037,2077
"183",0.236685820776411,0.871611789079866,0.045266276729593,0.0831219341905411,0.288922827639785,-9391.25303572015,2077
